Site,Date,Na_ion,K_ion,Mg_ion,Ca_ion,SO4_ion,NH4_ion,NO3_ion,Cl_ion,OC,EC,PM2.5_Mass_Concentration,Al,Fe,Na,Mg,K,Ca,Sr,Ba,Ti,Mn,Co,Ni,Cu,Zn,Mo,Cd,Sn,Sb,Tl,Pb,V,Cr,As,Y,Se,Zr,Ge,Rb,Cs,Ga,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U
花蓮,21-Jan-19,0.12,0.02,0.01,0.02,0.69,0.23,0.59,0.11,1.74,0.45,5,0.011102,0.018805,0.119904,0.016990,0.033439,0.058330,0.000237,0.000897,0.001434,0.000810,0.000016,0.001629,0.000871,0.004518,0.000140,0.000043,0.000460,0.000110,0.000024,0.000872,0.000734,0.002420,0.000214,0.000005,0.000270,0.000110,0.000019,0.000089,0.000005,0.000043,0.000020,0.000025,0.000001,0.000009,0.000001,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002
小港,21-Jan-19,0.49,0.31,0.05,0.12,6.59,5.60,11.76,1.65,7.45,1.52,48,0.128942,0.279861,0.727977,0.089093,0.471068,0.142985,0.002170,0.006170,0.015112,0.028324,0.000523,0.007660,0.014179,0.100697,0.003271,0.000836,0.012572,0.001587,0.000112,0.020965,0.004116,0.013732,0.001717,0.000268,0.001593,0.000738,0.000269,0.001278,0.000075,0.000445,0.000133,0.000186,0.000011,0.000071,0.000009,0.000002,0.000013,0.000001,0.000006,0.000001,0.000004,0.000000,0.000004,0.000000,0.000014,0.000014
嘉義,21-Jan-19,0.38,0.15,0.08,0.07,4.61,3.72,5.29,1.10,4.16,0.87,29,0.091696,0.157934,0.697547,0.080872,0.311600,0.105127,0.001240,0.013955,0.010504,0.012373,0.000165,0.002806,0.006092,0.045637,0.000799,0.000491,0.003231,0.001178,0.000089,0.038122,0.004051,0.003638,0.001600,0.000029,0.001011,0.000486,0.000166,0.000858,0.000047,0.000621,0.000104,0.000122,0.000007,0.000047,0.000007,0.000003,0.000009,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000000,0.000014,0.000009
斗六,21-Jan-19,0.29,0.11,0.03,0.07,4.02,3.15,3.96,0.88,4.08,0.49,24,0.054862,0.094251,0.392874,0.050139,0.177742,0.055411,0.000792,0.001874,0.006214,0.007848,0.000101,0.001862,0.005473,0.025879,0.000564,0.000258,0.002013,0.000535,0.000052,0.006949,0.003357,0.002771,0.000924,0.000020,0.000636,0.000313,0.000148,0.000478,0.000027,0.000186,0.000066,0.000069,0.000004,0.000027,0.000004,0.000001,0.000005,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000013,0.000006
忠明,21-Jan-19,0.28,0.07,0.03,0.06,3.59,2.21,1.74,0.44,2.64,0.34,16,0.030160,0.072886,0.299161,0.041603,0.117434,0.044851,0.000496,0.001398,0.005119,0.006906,0.000061,0.001145,0.003867,0.023006,0.000548,0.000236,0.001867,0.000434,0.000039,0.004729,0.003343,0.002267,0.000702,0.000014,0.000527,0.000326,0.000183,0.000317,0.000019,0.000140,0.000062,0.000060,0.000004,0.000024,0.000004,0.000001,0.000005,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000016,0.000004
板橋,21-Jan-19,0.25,0.07,0.01,0.14,3.33,1.01,0.63,0.38,2.61,0.37,14,0.020849,0.068768,0.234844,0.035047,0.094293,0.003030,0.000329,0.001552,0.003941,0.004768,0.000036,0.000703,0.001722,0.016227,0.000394,0.000118,0.001171,0.000267,0.000032,0.003009,0.003093,0.001061,0.000552,0.000022,0.000373,0.000382,0.000072,0.000264,0.000017,0.000119,0.000036,0.000045,0.000003,0.000016,0.000002,0.000001,0.000003,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000005,0.000004
花蓮,15-Jan-19,0.10,0.02,0.01,0.03,1.87,0.54,0.27,0.10,1.41,0.31,8,0.020330,0.021525,0.123978,0.017226,0.049231,0.045792,0.000326,0.000773,0.001912,0.001228,0.000022,0.000681,0.001358,0.005148,0.000148,0.000052,0.000438,0.000154,0.000045,0.001231,0.002590,0.000534,0.000307,0.000005,0.000248,0.000079,0.000025,0.000138,0.000009,0.000045,0.000021,0.000024,0.000001,0.000008,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001
小港,15-Jan-19,0.53,0.24,0.07,0.14,9.79,6.76,14.08,1.83,9.55,2.36,59,0.330119,0.601763,1.245121,0.220784,0.699946,0.411389,0.003439,0.012702,0.028783,0.038848,0.000895,0.012088,0.015477,0.100377,0.010285,0.000705,0.006725,0.002389,0.000177,0.027594,0.016529,0.011433,0.002073,0.000145,0.002564,0.001445,0.000311,0.001914,0.000148,0.000834,0.000442,0.000421,0.000030,0.000179,0.000024,0.000006,0.000035,0.000003,0.000017,0.000003,0.000011,0.000001,0.000011,0.000001,0.000022,0.000021
嘉義,15-Jan-19,0.85,0.28,0.09,0.09,10.98,6.66,10.97,2.66,6.34,1.09,50,0.167151,0.388898,1.894721,0.263958,0.709004,0.238447,0.003280,0.039169,0.017600,0.029331,0.000405,0.011367,0.013869,0.092952,0.001449,0.000766,0.005737,0.001947,0.000191,0.090905,0.019159,0.012432,0.002614,0.000077,0.002482,0.000771,0.000246,0.001620,0.000096,0.001680,0.000286,0.000277,0.000017,0.000108,0.000018,0.000007,0.000022,0.000002,0.000011,0.000002,0.000008,0.000001,0.000006,0.000001,0.000015,0.000016
斗六,15-Jan-19,0.73,0.25,0.09,0.10,9.56,5.78,8.08,2.17,6.00,0.95,44,0.182131,0.346768,1.806520,0.252295,0.618335,0.248438,0.002775,0.005240,0.017252,0.025862,0.000317,0.008912,0.012652,0.103194,0.001486,0.000708,0.006132,0.001726,0.000184,0.026841,0.018414,0.005915,0.002650,0.000081,0.002212,0.000778,0.000258,0.001438,0.000091,0.000579,0.000275,0.000263,0.000017,0.000107,0.000014,0.000003,0.000021,0.000002,0.000010,0.000002,0.000007,0.000001,0.000006,0.000001,0.000017,0.000017
忠明,15-Jan-19,0.69,0.15,0.10,0.09,9.64,5.08,5.24,1.49,3.74,0.67,36,0.034725,0.120872,0.550170,0.067935,0.188365,0.125671,0.000795,0.001732,0.007069,0.013959,0.000106,0.003840,0.006177,0.039237,0.000876,0.000265,0.002824,0.000744,0.000072,0.008905,0.014558,0.006755,0.001137,0.000021,0.001055,0.000478,0.000231,0.000502,0.000031,0.000255,0.000087,0.000091,0.000006,0.000039,0.000006,0.000001,0.000008,0.000001,0.000003,0.000000,0.000002,0.000000,0.000002,0.000000,0.000017,0.000006
板橋,15-Jan-19,0.19,0.05,0.18,0.05,3.46,1.15,1.08,0.28,5.60,0.89,15,0.100166,0.187204,0.304519,0.045099,0.140939,0.112580,0.000934,0.004772,0.010916,0.015266,0.000120,0.003149,0.007860,0.034118,0.000788,0.000243,0.001475,0.000810,0.000060,0.007444,0.004693,0.003884,0.000759,0.000024,0.000471,0.000724,0.000092,0.000439,0.000031,0.000317,0.000101,0.000136,0.000005,0.000045,0.000004,0.000001,0.000008,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000008,0.000007
花蓮,09-Jan-19,0.16,0.01,0.01,0.05,0.50,0.18,0.55,0.17,1.75,0.25,4,0.000578,0.001895,0.137881,0.016835,0.027690,0.026803,0.000195,0.000455,0.000055,0.000640,0.000010,0.000826,0.000104,0.001979,0.000113,0.000065,0.000090,0.000082,0.000081,0.000827,0.000756,0.000082,0.000097,0.000001,0.000162,0.000070,0.000006,0.000063,0.000003,0.000019,0.000016,0.000016,0.000000,0.000004,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001
小港,09-Jan-19,0.55,0.22,0.06,0.15,3.84,4.97,12.33,1.13,8.47,1.50,42,0.076014,0.221813,0.538594,0.059586,0.269485,0.071236,0.000840,0.004436,0.011598,0.019245,0.000562,0.011765,0.007505,0.055104,0.005053,0.000222,0.002025,0.000700,0.000038,0.009891,0.004402,0.021236,0.000506,0.000198,0.001255,0.000439,0.000273,0.000624,0.000037,0.000243,0.000103,0.000123,0.000007,0.000045,0.000005,0.000001,0.000008,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000013,0.000006
嘉義,09-Jan-19,0.45,0.14,0.04,0.07,3.03,3.37,6.40,1.02,5.23,0.94,26,0.070500,0.145013,0.572433,0.070240,0.313415,0.127799,0.001215,0.027848,0.012370,0.015743,0.000185,0.003733,0.007445,0.062651,0.000833,0.000363,0.003335,0.001560,0.000049,0.017958,0.002413,0.003073,0.000655,0.000027,0.001138,0.000429,0.000123,0.000617,0.000028,0.000964,0.000094,0.000089,0.000004,0.000031,0.000008,0.000004,0.000006,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000016,0.000005
斗六,09-Jan-19,0.35,0.08,0.03,0.08,2.54,2.76,4.92,0.58,5.51,0.76,23,0.067247,0.087390,0.345465,0.048683,0.154118,0.007510,0.000639,0.002005,0.005277,0.007435,0.000152,0.007178,0.006355,0.036969,0.000652,0.000216,0.002252,0.000779,0.000025,0.006136,0.001973,0.003240,0.000540,0.000018,0.000828,0.000254,0.000098,0.000314,0.000016,0.000135,0.000066,0.000058,0.000003,0.000022,0.000003,0.000001,0.000004,0.000000,0.000002,0.000001,0.000002,0.000000,0.000001,0.000000,0.000010,0.000004
忠明,09-Jan-19,0.31,0.05,0.01,0.05,1.89,0.87,1.70,0.33,3.25,0.51,12,0.026987,0.087361,0.274682,0.037749,0.079487,0.021818,0.000447,0.001758,0.006891,0.008800,0.000067,0.001418,0.004376,0.018054,0.000594,0.000184,0.001700,0.000443,0.000019,0.003383,0.001972,0.002989,0.000329,0.000011,0.000464,0.000398,0.000114,0.000202,0.000011,0.000133,0.000035,0.000043,0.000002,0.000015,0.000002,0.000001,0.000003,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000018,0.000003
板橋,09-Jan-19,0.16,0.03,0.01,0.02,2.11,0.70,0.31,0.22,1.61,0.35,8,0.015526,0.029095,0.114249,0.015211,0.033286,0.017511,0.000303,0.000764,0.002444,0.002228,0.000018,0.000671,0.001276,0.008779,0.000171,0.000031,0.000221,0.000128,0.000014,0.001204,0.002455,0.000419,0.000216,0.000005,0.000194,0.000106,0.000046,0.000094,0.000007,0.000051,0.000020,0.000023,0.000001,0.000008,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000002
花蓮,03-Jan-19,0.14,0.01,0.01,0.01,0.26,0.08,0.19,0.18,1.33,0.16,3,0.019643,0.031669,0.141660,0.023845,0.027379,0.046574,0.000411,0.002535,0.003203,0.001074,0.000052,0.003291,0.001211,0.005160,0.000200,0.000019,0.000256,0.000070,0.000034,0.000215,0.000266,0.003539,0.000173,0.000006,0.000226,0.000106,0.000009,0.000073,0.000003,0.000086,0.000030,0.000035,0.000001,0.000012,0.000002,0.000001,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000001
小港,03-Jan-19,0.32,0.15,0.03,0.12,4.71,4.93,11.37,0.96,8.61,1.61,39,0.062806,0.205879,0.407323,0.055079,0.231000,0.074176,0.001051,0.007927,0.009922,0.018061,0.000269,0.005050,0.008796,0.070508,0.002515,0.000289,0.002830,0.000871,0.000036,0.009652,0.001318,0.007316,0.000590,0.000191,0.001132,0.000583,0.000171,0.000518,0.000028,0.000347,0.000104,0.000120,0.000006,0.000044,0.000006,0.000002,0.000008,0.000001,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000015,0.000006
嘉義,03-Jan-19,0.33,0.14,0.03,0.14,3.55,3.75,7.77,0.86,4.25,0.66,26,0.080801,0.164876,0.656872,0.073133,0.326696,0.056740,0.001424,0.049604,0.011834,0.017567,0.000185,0.002843,0.010346,0.077621,0.000785,0.000459,0.004788,0.000928,0.000047,0.009297,0.001231,0.004159,0.000792,0.000033,0.001203,0.000620,0.000180,0.000739,0.000032,0.001708,0.000076,0.000089,0.000004,0.000032,0.000011,0.000007,0.000006,0.000000,0.000002,0.000001,0.000002,0.000000,0.000002,0.000000,0.000025,0.000005
斗六,03-Jan-19,0.26,0.06,0.01,0.05,2.76,3.16,6.15,0.60,4.27,0.83,23,0.037357,0.130225,0.373117,0.042743,0.161473,0.042183,0.000628,0.002430,0.006723,0.011898,0.000123,0.001973,0.007443,0.045759,0.000652,0.000311,0.003885,0.000654,0.000022,0.007075,0.001175,0.006344,0.000754,0.000028,0.001050,0.000457,0.000158,0.000368,0.000016,0.000148,0.000048,0.000056,0.000002,0.000019,0.000003,0.000001,0.000004,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000021,0.000003
忠明,03-Jan-19,0.17,0.03,0.01,0.03,1.68,1.65,2.74,0.32,3.18,0.77,12,0.034857,0.118992,0.232545,0.032446,0.078024,0.069995,0.000634,0.003010,0.013362,0.013839,0.000078,0.001355,0.006168,0.032128,0.000746,0.000224,0.003555,0.000479,0.000017,0.003630,0.000797,0.005304,0.000490,0.000019,0.000555,0.000655,0.000159,0.000222,0.000010,0.000171,0.000046,0.000061,0.000003,0.000021,0.000003,0.000001,0.000004,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000029,0.000003
板橋,03-Jan-19,0.07,0.01,0.01,0.01,0.53,0.19,0.20,0.09,0.67,0.34,3,0.023959,0.064344,0.121139,0.020896,0.026510,0.050097,0.000318,0.001842,0.003851,0.003040,0.000032,0.000963,0.001960,0.012538,0.000179,0.000023,0.000316,0.000143,0.000005,0.000832,0.000857,0.001429,0.000086,0.000006,0.000090,0.000305,0.000013,0.000075,0.000003,0.000075,0.000032,0.000045,0.000002,0.000015,0.000002,0.000000,0.000003,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000003,0.000001
花蓮,22-Dec-18,0.24,0.06,0.01,0.09,3.04,1.07,0.57,0.17,2.35,0.37,10,0.021407,0.029323,0.207273,0.025620,0.056615,0.067506,0.000380,0.000687,0.002072,0.001383,0.000025,0.000653,0.000993,0.002856,0.000076,0.000049,0.001713,0.000199,0.000026,0.001634,0.002712,0.000247,0.000304,0.000008,0.000130,0.000052,0.000016,0.000160,0.000010,0.000041,0.000026,0.000034,0.000002,0.000014,0.000002,0.000001,0.000003,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000003
小港,22-Dec-18,0.54,0.35,0.06,0.20,10.68,7.94,17.23,1.41,10.87,2.53,64,0.127133,0.258997,0.810794,0.097367,0.422756,0.140245,0.001403,0.012828,0.006934,0.023326,0.000337,0.008993,0.010784,0.041848,0.002228,0.000644,0.048952,0.001373,0.000087,0.010130,0.016441,0.005609,0.000834,0.000040,0.000720,0.000498,0.000133,0.000928,0.000057,0.000537,0.000116,0.000148,0.000009,0.000058,0.000009,0.000004,0.000012,0.000001,0.000006,0.000001,0.000004,0.000001,0.000004,0.000001,0.000018,0.000011
嘉義,22-Dec-18,0.69,0.46,0.06,0.15,11.34,8.10,17.52,2.48,9.91,1.81,66,0.057804,0.108447,0.575346,0.061483,0.536186,0.007500,0.000850,0.020667,0.000137,0.016337,0.000107,0.003646,0.007360,0.059881,0.000856,0.000369,0.001741,0.000683,0.000081,0.006158,0.012863,0.004916,0.000884,0.000023,0.001299,0.000396,0.000140,0.001052,0.000045,0.000759,0.000050,0.000076,0.000006,0.000032,0.000008,0.000003,0.000006,0.000000,0.000003,0.000001,0.000002,0.000000,0.000002,0.000000,0.000009,0.000007
斗六,22-Dec-18,0.39,0.35,0.04,0.20,9.25,7.40,15.54,2.06,10.27,1.64,60,0.138485,0.232248,0.684326,0.095931,0.445007,0.158950,0.001259,0.004146,0.010117,0.015929,0.000229,0.005975,0.007619,0.043908,0.000812,0.000421,0.008828,0.001153,0.000098,0.013366,0.011166,0.003624,0.000901,0.000050,0.000867,0.000346,0.000102,0.000917,0.000055,0.000258,0.000132,0.000156,0.000012,0.000109,0.000010,0.000003,0.000015,0.000001,0.000014,0.000002,0.000006,0.000001,0.000005,0.000001,0.000018,0.000009
忠明,22-Dec-18,0.48,0.23,0.05,0.09,9.95,5.90,10.32,1.46,6.96,1.27,42,0.055515,0.183478,0.799702,0.062637,0.337843,0.063440,0.001153,0.004137,0.009054,0.019930,0.000213,0.006772,0.008551,0.036164,0.000949,0.000336,0.011259,0.002477,0.000088,0.011370,0.013318,0.004529,0.000807,0.000029,0.000698,0.000486,0.000181,0.000758,0.000040,0.000245,0.000081,0.000117,0.000006,0.000041,0.000005,0.000002,0.000009,0.000001,0.000004,0.000001,0.000003,0.000000,0.000003,0.000001,0.000038,0.000008
板橋,22-Dec-18,0.35,0.14,0.01,0.10,7.94,4.33,5.89,0.66,8.67,1.59,36,0.093568,0.218552,0.480459,0.051395,0.210313,0.069987,0.000845,0.004731,0.007917,0.018474,0.000148,0.003831,0.010204,0.045722,0.000906,0.000291,0.010892,0.001353,0.000088,0.010147,0.006814,0.003669,0.000632,0.000033,0.000412,0.000574,0.000117,0.000666,0.000042,0.000305,0.000124,0.000164,0.000008,0.000055,0.000006,0.000002,0.000011,0.000001,0.000005,0.000001,0.000004,0.000000,0.000003,0.000001,0.000029,0.000008
小港,19-Dec-18,0.31,0.21,0.04,0.19,7.27,4.57,7.26,0.77,7.89,1.58,37,0.128159,0.186266,0.415584,0.049200,0.301084,0.094363,0.000915,0.003014,0.013316,0.013865,0.000246,0.005145,0.006044,0.043674,0.001579,0.000375,0.008534,0.001516,0.000102,0.010204,0.007256,0.005757,0.000750,0.000054,0.000685,0.000309,0.000122,0.000868,0.000074,0.000222,0.000091,0.000141,0.000009,0.000054,0.000007,0.000002,0.000011,0.000001,0.000005,0.000001,0.000004,0.000000,0.000003,0.000001,0.000011,0.000012
花蓮,16-Dec-18,0.11,0.02,0.01,0.04,1.22,0.36,0.23,0.12,2.04,0.28,5,0.004237,0.007857,0.088857,0.010195,0.022712,0.017226,0.000162,0.000442,0.000054,0.000386,0.000014,0.000899,0.000747,0.000957,0.000086,0.000047,0.002854,0.000082,0.000010,0.001561,0.000918,0.000813,0.000149,0.000002,0.000054,0.000034,0.000007,0.000048,0.000002,0.000019,0.000009,0.000013,0.000000,0.000004,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000
小港,16-Dec-18,0.45,0.32,0.06,0.22,7.39,6.23,15.18,1.49,8.37,1.32,47,0.040651,0.081250,0.375876,0.031606,0.262120,0.032275,0.000580,0.002014,0.000055,0.006493,0.000115,0.003180,0.005426,0.021844,0.001849,0.000180,0.003944,0.000546,0.000043,0.007291,0.006529,0.004741,0.000493,0.000014,0.000531,0.000196,0.000099,0.000508,0.000039,0.000124,0.000039,0.000051,0.000003,0.000021,0.000003,0.000001,0.000004,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000007,0.000005
嘉義,16-Dec-18,0.36,0.40,0.03,0.12,3.90,3.46,6.73,1.00,8.72,0.97,32,0.054318,0.089970,0.443416,0.042841,0.421837,0.039304,0.000946,0.002826,0.000055,0.007762,0.000087,0.002094,0.007364,0.026624,0.002106,0.000326,0.006206,0.000964,0.000053,0.015192,0.003618,0.002189,0.000583,0.000016,0.000490,0.000243,0.000086,0.000648,0.000036,0.000148,0.000052,0.000074,0.000004,0.000026,0.000003,0.000001,0.000005,0.000000,0.000002,0.000001,0.000002,0.000000,0.000002,0.000000,0.000012,0.000004
斗六,16-Dec-18,0.31,0.44,0.03,0.08,3.85,3.60,6.83,1.17,9.60,0.91,35,0.036281,0.072554,0.219798,0.023153,0.316909,0.040127,0.000872,0.002580,0.004265,0.005267,0.000068,0.005009,0.005665,0.015498,0.000413,0.000238,0.007394,0.000833,0.000030,0.008678,0.003706,0.002244,0.000673,0.000012,0.000480,0.000191,0.000111,0.000406,0.000019,0.000126,0.000033,0.000046,0.000003,0.000017,0.000002,0.000001,0.000003,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000016,0.000003
忠明,16-Dec-18,0.29,0.14,0.02,0.08,3.32,1.78,1.99,0.42,4.04,0.58,16,0.017574,0.068373,0.314164,0.033131,0.179923,0.019777,0.000554,0.002140,0.000055,0.007866,0.000059,0.001711,0.007706,0.023016,0.000554,0.000208,0.008241,0.000339,0.000032,0.007694,0.002902,0.002548,0.000541,0.000011,0.000302,0.000278,0.000138,0.000345,0.000016,0.000130,0.000040,0.000045,0.000002,0.000016,0.000002,0.000001,0.000003,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000030,0.000003
板橋,16-Dec-18,0.28,0.10,0.01,0.08,3.73,1.69,1.28,0.43,3.49,0.50,14,0.014486,0.043952,0.236360,0.020558,0.081043,0.042973,0.000333,0.001281,0.003623,0.003808,0.000052,0.001428,0.004921,0.014014,0.000604,0.000166,0.003859,0.000498,0.000047,0.003523,0.004401,0.002840,0.000493,0.000007,0.000239,0.000170,0.000054,0.000235,0.000017,0.000075,0.000029,0.000041,0.000001,0.000013,0.000001,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000010,0.000003
花蓮,13-Dec-18,0.10,0.03,0.01,0.08,1.34,0.53,0.50,0.32,1.13,0.06,6,0.008584,0.013740,0.079919,0.009674,0.015816,0.043168,0.000190,0.000394,0.001246,0.000647,0.000016,0.000514,0.000311,0.001413,0.000057,0.000018,0.000306,0.000081,0.000049,0.000493,0.000502,0.000406,0.000109,0.000005,0.000096,0.000056,0.000019,0.000058,0.000005,0.000030,0.000012,0.000016,0.000001,0.000006,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000001
嘉義,13-Dec-18,0.22,0.19,0.01,0.10,6.18,3.95,7.06,0.55,5.25,0.83,27,0.037334,0.115281,0.287979,0.026513,0.245089,0.051845,0.000703,0.026211,0.000055,0.011553,0.000131,0.002199,0.006485,0.024509,0.000548,0.000379,0.004292,0.000519,0.000075,0.014705,0.002016,0.003496,0.000534,0.000023,0.000457,0.000272,0.000145,0.000631,0.000039,0.000840,0.000058,0.000064,0.000004,0.000025,0.000006,0.000004,0.000005,0.000000,0.000002,0.000000,0.000002,0.000000,0.000002,0.000000,0.000014,0.000007
小港,10-Dec-18,0.29,0.27,0.03,0.10,4.57,4.46,10.10,0.81,7.46,1.37,34,0.017072,0.076267,0.206908,0.020777,0.154627,0.041097,0.000281,0.001253,0.000055,0.008958,0.000082,0.001712,0.004129,0.024199,0.003833,0.000127,0.003625,0.000004,0.000015,0.003978,0.003881,0.006991,0.000221,0.000028,0.000331,0.000165,0.000120,0.000286,0.000018,0.000084,0.000033,0.000042,0.000003,0.000016,0.000002,0.000001,0.000003,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000007,0.000003
嘉義,10-Dec-18,0.16,0.17,0.01,0.07,3.10,2.48,4.06,0.65,3.81,0.75,18,0.025960,0.077698,0.194949,0.018437,0.185724,0.061828,0.000486,0.020942,0.003943,0.006348,0.000082,0.001885,0.005328,0.020865,0.000430,0.000293,0.006436,0.000439,0.000016,0.006951,0.000904,0.002830,0.000441,0.000011,0.000237,0.000277,0.000093,0.000360,0.000010,0.000577,0.000043,0.000052,0.000002,0.000017,0.000004,0.000003,0.000003,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000019,0.000003
斗六,10-Dec-18,0.16,0.10,0.01,0.05,2.81,2.10,3.24,0.44,4.22,0.89,16,0.013359,0.050874,0.113999,0.008175,0.081137,0.031778,0.000186,0.001081,0.002512,0.004216,0.000067,0.002597,0.003732,0.011813,0.000402,0.000098,0.004299,0.000306,0.000010,0.002904,0.000979,0.004197,0.000379,0.000005,0.000248,0.000175,0.000110,0.000147,0.000006,0.000061,0.000023,0.000025,0.000001,0.000009,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000017,0.000002
忠明,10-Dec-18,0.12,0.02,0.01,0.04,3.37,1.70,1.69,0.18,1.49,0.40,11,0.009507,0.048552,0.122702,0.012650,0.031813,0.027636,0.000174,0.000920,0.004380,0.004361,0.000040,0.000750,0.004044,0.010002,0.000402,0.000087,0.005278,0.000452,0.000009,0.001590,0.000833,0.002071,0.000166,0.000008,0.000166,0.000230,0.000105,0.000084,0.000004,0.000064,0.000039,0.000024,0.000001,0.000008,0.000001,0.000000,0.000002,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000020,0.000002
板橋,10-Dec-18,0.12,0.02,0.01,0.05,0.80,0.23,0.51,0.08,2.30,0.70,5,0.010027,0.042768,0.085290,0.011092,0.012489,0.032605,0.000131,0.001541,0.000571,0.003869,0.000018,0.000463,0.002003,0.004952,0.000194,0.000049,0.000899,0.000125,0.000001,0.000511,0.000847,0.001067,0.000052,0.000004,0.000032,0.000134,0.000008,0.000036,0.000001,0.000051,0.000021,0.000037,0.000001,0.000011,0.000001,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000001
花蓮,07-Dec-18,0.39,0.04,0.04,0.23,0.34,0.11,0.31,0.42,0.65,0.11,4,0.004101,0.002937,0.084976,0.006626,0.005752,0.019259,0.000209,0.000079,0.000607,0.000086,0.000006,0.000251,0.000023,0.000538,0.000027,0.000006,0.000088,0.000025,0.000008,0.000223,0.000428,0.000516,0.000034,0.000002,0.000038,0.000016,0.000006,0.000016,0.000001,0.000003,0.000003,0.000004,0.000000,0.000002,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
小港,07-Dec-18,0.50,0.27,0.06,0.18,9.42,5.91,11.71,1.09,8.25,1.58,48,0.133324,0.258029,0.375732,0.003641,0.267916,0.079426,0.001234,0.004953,0.012771,0.021240,0.000258,0.005263,0.035851,0.057417,0.006679,0.000408,0.005836,0.000011,0.000039,0.009154,0.017916,0.015786,0.000508,0.000119,0.001251,0.000537,0.000258,0.000751,0.000046,0.000287,0.000188,0.000211,0.000011,0.000078,0.000009,0.000002,0.000013,0.000001,0.000007,0.000001,0.000004,0.000001,0.000005,0.000000,0.000013,0.000009
嘉義,07-Dec-18,0.34,0.15,0.03,0.10,3.22,2.45,4.43,0.52,4.45,0.71,18,0.034068,0.051792,0.172201,0.018382,0.086716,0.022550,0.000361,0.004876,0.005928,0.003692,0.000061,0.001680,0.002249,0.011911,0.000283,0.000119,0.001080,0.000328,0.000014,0.004090,0.002783,0.002592,0.000358,0.000014,0.000397,0.000088,0.000097,0.000216,0.000015,0.000160,0.000026,0.000034,0.000002,0.000014,0.000003,0.000001,0.000003,0.000000,0.000002,0.000000,0.000001,0.000000,0.000001,0.000000,0.000007,0.000002
斗六,07-Dec-18,0.23,0.11,0.02,0.11,2.31,1.10,2.49,0.37,4.61,0.60,14,0.022930,0.043792,0.166648,0.016970,0.072781,0.030491,0.000343,0.000776,0.003840,0.003005,0.000058,0.000852,0.003374,0.010683,0.000299,0.000067,0.001112,0.000293,0.000011,0.002220,0.001732,0.002291,0.000288,0.000013,0.000204,0.000101,0.000082,0.000144,0.000013,0.000050,0.000024,0.000030,0.000002,0.000012,0.000002,0.000000,0.000003,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000009,0.000002
